"name","birthdate","deathdate","pname","othername","wordming","birthplace","achievement"
"丁石孙","1927",,,,,"江苏镇江","数学家"
"丁光训","1915",,,,,"上海","上海圣约翰大学、美国纽约哥伦比亚大学师范学院、纽约协和神学院毕业，文学硕士、神学博士"
"丁关根","1929",,,,,"江苏无锡",
"丁玲","1940","1986","蒋伟","蒋玮、丁冰之","字冰之","湖南临灃(原安福)县",
"于方舟","1900","1928","于兰渚","芳洲",,"河北宁河县俵口村",
"于右任","1879","1964",,,"名伯循","原籍陕西泾阳，生于三原",
"于兆龙","1905","1933","于戟起",,,"湖南慈利",
"于江震","1912","1967",,"余岱生",,"四川西充",
"于学忠","1890","1964",,,"字孝侯","原籍山东蓬莱，生于辽宁旅顺",
"于树德","1894","1982",,,"字永滋","河北静海",
"于毅夫","1903","1982","于成泽","洪波",,"逸凡吉林双城辛家窝堡(今属黑龙江肇东)人",
"于永波","1931",,,,,"满族，辽宁复县",
"土肥原贤二","1883","1948",,,,"日本冈山",
"万永诚","1898","1935",,,,"江西",
"万里","1916",,,,,"山东东平",
"万国权","1919",,,,,"吉林农安",
"万涛","1904","1932","万诗楷","王德","号铁民","土家族，四川黔江县正谊曾家沟",
"万毅","1907","1997","万允和",,,"满族，辽宁金县",
"万钢","1952",,,,,"上海",
"上官云相","1895","1969",,,"字纪青","山东商河县",
"广田弘毅","1878","1948",,,,"日本福冈",
"卫立煌","1897","1960",,,"字俊如","安徽合肥",
"习仲勋","1913","2002",,,,"陕西省富平县淡村",
"习近平","1953",,,,,"陕西富平",
"马万祺","1919",,,,,"广东广州",
"马文瑞","1912","2004",,,,"陕西省米脂县(今子洲县)",
"马本斋","1902","1944",,,"字守清","回族，河北献县",
"马占山","1885","1950",,,"字秀芳","祖籍河北丰润，生于吉林怀德",
"马步芳","1903","1975",,,"字子香","回族，甘肃临夏人",
"马林","1883","1942","亨德立克斯·斯内夫利特(Hendricus SneevlietMaring)",,,"荷兰",
"马国瑞","1915","2005","王金印","王子玺",,"河北省南宫县",
"马明方","1905","1974",,"马汝舟、马济民",,"陕西米脂",
"马相伯","1840","1939","马建常","马良","字相伯，晚号华封老人","江苏丹阳",
"马叙伦","1884","1970",,,"字彝初，又作夷初，号石翁寒香","浙江杭县(今余杭)",
"马骏","1895","1928",,"马天安",,"回族，吉林宁安(今属黑龙江省)",
"马鸿宾","1884","1960",,,"字子寅","回族，甘肃临夏",
"马鸿逵","1892","1970",,,"字少云","回族，甘肃河州(今临夏)",
"马寅初","1882","1982",,,,"浙江嵊县",
"马辉之","1901","1994","马星荣",,,"湖南省长沙县",
"马歇尔","1880","1959","乔治·卡特利特·马歇尔",,,"美国",
"马锡五","1889","1962","马文章",,,"陕西保安(今志丹)",
"马洪","1920","2007",,,,"山西定襄",
"马凯","1946",,,,,"上海",
"马馼","1948",,,,,"河北吴桥",
"干以胜","1945",,,,,"湖北武穴",
"王一飞","1899","1928",,"王兆鹏、王亦飞",,"浙江上虞",
"王一鸣","1906","1932",,,,"湖北枣阳",
"王云五","1888","1979","王之瑞","龙倦飞(笔名)","字岫庐","原籍广东中山，生于上海",
"王从吾","1910","2001",,,,"河南省内黄县",
"王凤飞","1903","1933","王老顺","王洪飞、王凤非",,"江西南昌",
"王文","1912","1943","王学善","罗文",,"陕西绥德",
"王文元","1931",,,,,"湖北黄陂",
